category,score,course,teacher,college,avg_gpa,sample_count,teacher_score,rating_count,checkin_ratio,relevance,risk,course_easy,course_hard,url
软件相关,87.2,数学软件,王何宇,数学科学学院,4.71,500,9.91,157,6.4,强相关,0,3.5,1.2,https://chalaoshi.de/t/2167/
软件相关,82.4,自然语言处理导论,汤斯亮,计算机科学与技术学院,4.68,447,9.34,46,37.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/3462/
软件相关,79.9,B/S体系软件设计,胡晓军,计算机科学与技术学院,4.55,500,9.81,73,6.8,强相关,0,0.0,0.0,https://chalaoshi.de/t/1453/
软件相关,76.7,自然语言处理导论,汤斯亮,信息科学与工程学院,4.68,447,,0,,强相关,0,0.0,0.0,https://chalaoshi.de/t/4094/
软件相关,72.7,人工智能,吴飞,计算机科学与技术学院,4.3,341,9.49,55,30.9,强相关,0,8.5,0.0,https://chalaoshi.de/t/1877/
软件相关,72.5,课程综合实践Ⅱ,袁昕,计算机科学与技术学院,4.67,162,8.15,11,9.1,相关,1,2.0,0.0,https://chalaoshi.de/t/5302/
软件相关,72.1,软件安全原理和实践,周亚金,计算机科学与技术学院,4.7,120,8.85,34,20.6,强相关,1,0.0,0.0,https://chalaoshi.de/t/5580/
软件相关,71.5,课程综合实践Ⅰ,肖俊,计算机科学与技术学院,4.64,216,9.82,79,32.9,相关,1,0.0,0.0,https://chalaoshi.de/t/1763/
软件相关,71.4,程序设计与算法基础,应晶,城市学院,4.46,149,9.88,120,19.2,强相关,0,0.0,0.0,https://chalaoshi.de/t/2544/
软件相关,71.3,ROS与机器人仿真软件,高飞,信息与电子工程学院,4.52,100,9.02,13,0.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/5512/
软件相关,71.2,人工智能前沿,吴飞,计算机科学与技术学院,4.6,86,9.49,55,30.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/1877/
软件相关,71.1,大规模信息系统开发试验,袁昕,计算机科学与技术学院,4.76,121,8.15,11,9.1,相关,1,0.0,0.0,https://chalaoshi.de/t/5302/
软件相关,71.1,软件安全,周亚金,计算机科学与技术学院,4.68,72,8.85,34,20.6,强相关,0,0.0,0.0,https://chalaoshi.de/t/5580/
软件相关,71.1,计算机科学思想史,霍宇驰,计算机科学与技术学院,4.53,406,9.24,15,20.0,相关,0,0.0,0.0,https://chalaoshi.de/t/6945/
软件相关,71.0,工程伦理导论(B),王淼,人文学院,4.46,255,9.19,135,80.7,相关,0,24.5,5.6,https://chalaoshi.de/t/4245/
软件相关,70.8,程序设计与算法基础,应晶,计算机科学与技术学院,4.46,149,9.69,44,22.7,强相关,0,0.0,0.0,https://chalaoshi.de/t/5102/
软件相关,70.2,量子算法,武俊德,数学科学学院,4.67,379,8.49,30,56.7,强相关,3,2.0,0.0,https://chalaoshi.de/t/3140/
软件相关,70.2,面向对象程序设计,陈翔,计算机科学与技术学院,4.3,493,9.76,58,19.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/4615/
软件相关,69.5,数据挖掘导论,李石坚,计算机科学与技术学院,4.35,209,5.41,28,3.6,强相关,0,0.0,0.0,https://chalaoshi.de/t/1816/
软件相关,69.3,智能制造与企业自动化,赵均,控制科学与工程学院,4.34,301,8.39,39,12.8,相关,0,5.0,1.2,https://chalaoshi.de/t/517/
软件相关,68.9,数据可视化导论,巫英才,计算机科学与技术学院,4.52,256,7.72,27,66.7,相关,0,2.0,0.0,https://chalaoshi.de/t/5173/
软件相关,68.8,人工智能前沿,吴飞,传媒与国际文化学院,4.6,86,7.37,48,22.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/5016/
软件相关,68.7,计算程序设计训练,陈建军,公共管理学院,4.53,115,8.69,183,22.4,强相关,1,0.0,0.0,https://chalaoshi.de/t/529/
软件相关,68.3,人工智能实践,杨洋,求是学院,4.83,55,9.79,67,53.7,强相关,1,0.0,0.0,https://chalaoshi.de/t/4782/
软件相关,68.3,脑启发人工智能导论,祁玉,计算机科学与技术学院,4.55,63,8.69,11,36.4,强相关,0,0.0,0.0,https://chalaoshi.de/t/5999/
软件相关,68.3,数据可视化导论,陈为,计算机科学与技术学院,4.52,256,4.76,42,28.6,相关,0,0.0,0.0,https://chalaoshi.de/t/3375/
软件相关,68.1,软件安全原理和实践,吴磊,地球科学学院,4.7,120,5.41,16,43.8,强相关,1,0.0,0.0,https://chalaoshi.de/t/3494/
软件相关,68.1,医药人工智能,周展,药学院,4.53,135,9.23,18,50.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/4309/
软件相关,67.6,人工智能引论,黄正行,生物医学工程与仪器科学学院,4.25,58,9.38,38,15.8,强相关,0,16.0,3.4,https://chalaoshi.de/t/3761/
软件相关,67.4,工程实践,韩劲松,计算机科学与技术学院,4.82,78,7.72,17,23.5,相关,1,0.0,0.0,https://chalaoshi.de/t/5591/
软件相关,67.1,软件安全,吴磊,地球科学学院,4.68,72,5.41,16,43.8,强相关,0,0.0,0.0,https://chalaoshi.de/t/3494/
软件相关,66.9,计算机科学思想史,汤斯亮,计算机科学与技术学院,4.4,500,9.34,46,37.0,相关,0,0.0,0.0,https://chalaoshi.de/t/3462/
软件相关,66.9,人工智能,况琨,计算机科学与技术学院,4.24,136,9.39,20,20.0,强相关,0,3.0,0.0,https://chalaoshi.de/t/6663/
软件相关,66.6,程序设计与算法基础,翁恺,计算机科学与技术学院,4.25,355,8.92,532,34.0,强相关,0,1.5,0.0,https://chalaoshi.de/t/936/
软件相关,66.5,网络安全原理与实践,卜凯,计算机科学与技术学院,4.44,156,9.89,130,33.1,强相关,1,0.0,0.0,https://chalaoshi.de/t/755/
软件相关,66.4,计算机系统Ⅱ,申文博,计算机科学与技术学院,4.51,77,9.45,56,33.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/5929/
软件相关,66.4,软件技术基础,刘兴高,控制科学与工程学院,4.34,207,9.69,54,31.5,强相关,0,0.0,0.0,https://chalaoshi.de/t/3165/
软件相关,66.3,智能控制系统设计与实践,姚维,电气工程学院,4.76,68,9.04,36,22.2,相关,1,0.0,0.0,https://chalaoshi.de/t/1793/
软件相关,66.1,经济统计软件及应用,朱燕建,经济学院,4.25,273,9.88,123,22.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/1032/
软件相关,65.9,空中机器人,高飞,信息与电子工程学院,4.33,331,9.02,13,0.0,相关,0,0.0,0.0,https://chalaoshi.de/t/5512/
软件相关,65.9,面向对象程序设计,翁恺,计算机科学与技术学院,4.27,493,8.92,532,34.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/936/
软件相关,65.8,程序设计方法学,翁恺,计算机科学与技术学院,4.26,138,8.92,532,34.0,强相关,0,4.0,1.2,https://chalaoshi.de/t/936/
